"Maker","Prod","ID","Desc","Color","Discon"
"Anchor","Emb","175","Ocean Blue - LT","7b9dc1","0"
"Anchor","Emb","221","Ocean Green","488f6b","0"
"Anchor","Emb","219","Ocean Green","9ad2ab","0"
"Anchor","Emb","969","Wineberry - MED","ce8f94","0"
"Anchor","Emb","8581","Stone Gray","79725e","0"
"Anchor","Emb","229","Emerald - DK","076f2f","0"
"Anchor","Emb","227","Emerald - MED","1c8532","0"
"Anchor","Emb","226","Emerald - MED LT","419937","0"
"Anchor","Emb","211","Spruce - MED DK","0b6033","0"
"Anchor","Emb","1066",,"1b576a","0"
"Anchor","Emb","209","Spruce","49a170","0"
"Anchor","Emb","206","Spruce - LT","a6cea4","0"
"Anchor","Emb","217","Juniper - MED DK","346544","0"
"Anchor","Emb","216","Juniper - MED","517c60","0"
"Anchor","Emb","213","Juniper - VY LT","baccab","0"
"Anchor","Emb","212","Spruce - DK","145236","0"
"Anchor","Emb","290","Canary Yellow - MED","fdd610","0"
"Anchor","Emb","367","Spice - LT","e3b386","0"
"Anchor","Emb","330","Melon - DK","f75d1f","0"
"Anchor","Emb","332","Blaze - LT","f6451f","0"
"Anchor","Emb","891","Brass","eabd6f","0"
"Anchor","Emb","88","Orchid - MED DK","ae1164","0"
"Anchor","Emb","1011","Flesh - VY LT","f8dcc6","0"
"Anchor","Emb","326","Apricot - DK","cf460f","0"
"Anchor","Emb","87","Orchid - MED","c73784","0"
"Anchor","Emb","378","Fawn - MED","a68068","0"
"Anchor","Emb","45","Carmine Rose - VY DK","5f0f14","0"
"Anchor","Emb","334","Blaze - MED","e8130f","0"
"Anchor","Emb","305","Topaz - LT","f9c654","0"
"Anchor","Emb","66","Raspberry - LT","e987ad","0"
"Anchor","Emb","329","Melon - DK","f86e45","0"
"Anchor","Emb","13","Salmon - DK","b21012","0"
"Anchor","Emb","288","Canary Yellow - LT","fbeb69","0"
"Anchor","Emb","890","Brass - LT","d1943f","0"
"Anchor","Emb","89","Orchid - DK","af0d64","0"
"Anchor","Emb","57","Beauty Rose - MED","da1b5b","0"
"Anchor","Emb","882","Copper - MED LT","dc9476","0"
"Anchor","Emb","1047","Cinnamon - LT","f39f64","0"
"Anchor","Emb","41","Carmine Rose - MED LT","da3b5f","0"
"Anchor","Emb","1023","Peony","d66b71","0"
"Anchor","Emb","884","Copper - DK","9a432e","0"
"Anchor","Emb","883","Copper - MED","bd7255","0"
"Anchor","Emb","324","Apricot - MED","ed6e32","0"
"Anchor","Emb","23","Baby Pink","fbbec3","0"
"Anchor","Emb","50","China Rose - MED","f599af","0"
"Anchor","Emb","881","Copper","e9ba98","0"
"Anchor","Emb","85","Orchid - LT","e99fc8","0"
"Anchor","Emb","20","Burgundy - MED DK","790c14","0"
"Anchor","Emb","892","Rose Wine - LT","f3d3c5","0"
"Anchor","Emb","677","Terra Cotta","95776d","0"
"Anchor","Emb","311","Tangerine - VY LT","f3ba71","0"
"Anchor","Emb","1008","Chicory - MED","cf9278","0"
"Anchor","Emb","19","Burgundy - MED","a4002b","0"
"Anchor","Emb","943","Wheat - MED","c99d57","0"
"Anchor","Emb","868","Flesh - MED","eaa68e","0"
"Anchor","Emb","86","Orchid - MED LT","dd78b1","0"
"Anchor","Emb","1046","Toast","ac641f","0"
"Anchor","Emb","335","Blaze - DK","e1090d","0"
"Anchor","Emb","1020","Peony - VY LT","f1beb6","0"
"Anchor","Emb","333","Blaze - MED LT","e62714","0"
"Anchor","Emb","1045","Toast - LT","ca874c","0"
"Anchor","Emb","1088",,"3d2c23","0"
"Anchor","Emb","94","Plum - DK","83186a","0"
"Anchor","Emb","338","Terra Cotta","ca6e58","0"
"Anchor","Emb","336","Terra Cotta - LT","ef9e79","0"
"Anchor","Emb","1049","Cinnamon","ae5023","0"
"Anchor","Emb","347","Bark - LT","d0925c","0"
"Anchor","Emb","371","Spice - DK","823a17","0"
"Anchor","Emb","942","Wheat - LT","eac381","0"
"Anchor","Emb","9","Salmon - MED LT","f48a7d","0"
"Anchor","Emb","323","Apricot - LT","f9884f","0"
"Anchor","Emb","314","Tangerine - MED LT","f58916","0"
"Anchor","Emb","944","Wheat - DK","854e1c","0"
"Anchor","Emb","316","Tangerine - DK","fa7017","0"
"Anchor","Emb","92","Plum - MED","a14998","0"
"Anchor","Emb","313","Tangerine - LT","faaa55","0"
"Anchor","Emb","925","Tangerine Very","e95207","0"
"Anchor","Emb","1014","Brick - VY DK","9e1f21","0"
"Anchor","Emb","936","Fawn - VY DK","7f3d26","0"
"Anchor","Emb","933","Fawn - VY LT","f0cfb3","0"
"Anchor","Emb","1003","Amberglow","dd6c36","0"
"Anchor","Emb","5975","Brick - DK","b65245","0"
"Anchor","Emb","72","Raspberry - VY DK","550925","0"
"Anchor","Emb","38","Blossom Pink - MED","e13a5f","0"
"Anchor","Emb","1001","Antique Gold - MED","d26c10","0"
"Anchor","Emb","36","Blossom Pink - LT","f5939e","0"
"Anchor","Emb","1007","Chicory - DK","a05945","0"
"Anchor","Emb","1048","Cinnamon - MED","d46b34","0"
"Anchor","Emb","1010","Cinnamon - VY LT","fdd9b4","0"
"Anchor","Emb","1016","Antique Mauve - LT","d39ba7","0"
"Anchor","Emb","1009","Copper - VY LT","f7dcc2","0"
"Anchor","Emb","100","Violet - MED DK","7a2862","0"
"Anchor","Emb","679","Beige Brown","995c44","0"
"Anchor","Emb","1027","Rose Wine - MED DK","bc595e","0"
"Anchor","Emb","328","Melon - LT","fc8e75","0"
"Anchor","Emb","1029","Antique Rose - DK","86103d","0"
"Anchor","Emb","901","Tawny - MED","b67a27","0"
"Anchor","Emb","1025","Peony - MED DK","ad1123","0"
"Anchor","Emb","31","Blush - LT","f77c8a","0"
"Anchor","Emb","894","Rose Wine - MED LT","df9a97","0"
"Anchor","Emb","893","Rose Wine","eeb3a7","0"
"Anchor","Emb","108","Lavender - LT","c29fd0","0"
"Anchor","Emb","103","Plum - VY LT","e3bad2","0"
"Anchor","Emb","109","Lavender - MED LT","a57aaf","0"
"Anchor","Emb","895","Rose Wine - MED","d1717a","0"
"Anchor","Emb","1015","Brick - DK","900911","0"
"Anchor","Emb","60","Magenta - LT","e99fbe","0"
"Anchor","Emb","914","Flesh - MED DK","c17b5d","0"
"Anchor","Emb","1018","Antique Mauve - DK","9c5965","0"
"Anchor","Emb","1019","Antique Mauve - VY DK","863f50","0"
"Anchor","Emb","102","Violet - VY DK","450844","0"
"Anchor","Emb","9046","Christmas Red","c60019","0"
"Anchor","Emb","22","Burgundy - VY DK","59091f","0"
"Anchor","Emb","307","Topaz - MED","de8e17","0"
"Anchor","Emb","1021","Peony - LT","e9aba5","0"
"Anchor","Emb","1022","Peony - MED LT","e4847d","0"
"Anchor","Emb","310","Topaz - VY DK","944c22","0"
"Anchor","Emb","379","Fawn - DK","8d6149","0"
"Anchor","Emb","362","Nutmeg - MED LT","e1a266","0"
"Anchor","Emb","355","Mocha - MED","93421a","0"
"Anchor","Emb","291","Canary Yellow - DK","fccd0d","0"
"Anchor","Emb","40","Carmine Rose - LT","f15981","0"
"Anchor","Emb","33","Blush - MED","f85a65","0"
"Anchor","Emb","289","Canary Yellow - MED","fbe950","0"
"Anchor","Emb","293","Jonquil - LT","fce378","0"
"Anchor","Emb","69","Raspberry - MED","96244b","0"
"Anchor","Emb","357","Mocha - DK","742b11","0"
"Anchor","Emb","292","Jonquil - VY LT","fceca0","0"
"Anchor","Emb","1","Snow White","fdfbff","0"
"Anchor","Emb","39","Blossom Pink - DK","b11520","0"
"Anchor","Emb","48","China Rose - VY LT","f9c4ce","0"
"Anchor","Emb","6","Salmon - VY LT","fbbba7","0"
"Anchor","Emb","1024","Peony - MED","c65656","0"
"Anchor","Emb","275","Citrus - LT","fbf1ce","0"
"Anchor","Emb","47","Carmine Red","ac0023","0"
"Anchor","Emb","351","Bark - MED DK","8c2f18","0"
