"Maker","Prod","ID","Desc","Hex","Discon"
"DMC","Emb","951","LT Tawny","faddb6","0"
"DMC","Emb","954","Nile Green","6fda8a","0"
"DMC","Emb","955","LT Nile Green","a8ebad","0"
"DMC","Emb","956","Geranium","f7566d","0"
"DMC","Emb","957","Pale Geranium","fd99af","0"
"DMC","Emb","958","DK Seagreen","0db294","0"
"DMC","Emb","959","MD Seagreen","72d0b7","0"
"DMC","Emb","961","DK Dusty Rose","de586c","0"
"DMC","Emb","962","MD Dusty Rose","eb7183","0"
"DMC","Emb","963","Ultra V LT Dusty Rose","fdccd1","0"
"DMC","Emb","964","LT Seagreen","a5e4d4","0"
"DMC","Emb","966","MD Baby Green","94d28a","0"
"DMC","Emb","967","V LT Apricot","ffc2ac","0"
"DMC","Emb","970","LT Pumpkin","fb6721","0"
"DMC","Emb","971","Pumpkin","fc670d","0"
"DMC","Emb","972","Deep Canary","fb9f11","0"
"DMC","Emb","973","Bright Canary","fccd2d","0"
"DMC","Emb","975","DK Golden Brown","813c11","0"
"DMC","Emb","976","MD Golden Brown","cf7532","0"
"DMC","Emb","977","LT Golden Brown","ec8f43","0"
"DMC","Emb","986","V DK Forest Green","2e5230","0"
"DMC","Emb","987","DK Forest Green","436838","0"
"DMC","Emb","988","MD Forest Green","66924a","0"
"DMC","Emb","989","Forest Green","71a74e","0"
"DMC","Emb","991","DK Aquamarine","135f55","0"
"DMC","Emb","992","LT Aquamarine","42b59e","0"
"DMC","Emb","993","V LT Aquamarine","62d8b6","0"
"DMC","Emb","995","DK Electric Blue","0061b0","0"
"DMC","Emb","996","MD Electric Blue","49a8eb","0"
"DMC","Emb","B5200","Snow White","fcfcff","0"
"DMC","Emb","Ecru","Ecru","fff7e7","0"
"DMC","Emb","White","White","ffffff","0"
